title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Ring of Pain	Ring of Pain	Ring of Pain	Ring of Pain is a roguelike card game in a world distorted by your mind... - Frail and fragile bear the curse, through the shadow you traverse - Darkness favours cunning few, stare too long and be consumed...	Epic Games Store			"Simon Boxer	Twice Different"	"Adventure	Card & Board Game	Indie	Role-playing (RPG)	Strategy"	Humble Games	2020-10-14	2020-10-14				LowPriority		False	"macOS	Windows"	https://images.gog.com/6da5d39f23e324e00db207860dbd0e92b029af6b1b6f44d862d56f51eaa17dfa_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/0d619c0fc34aa9d48ac71a258da6e9758c04cfa5941559ba17018f4f2ba50f38_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/01a64c441b9948197746afcac32ba56c9837d70340c3e4e541e7ee2a7bc2ec23_glx_vertical_cover.webp?namespace=gamesdb
RIOT - Civil Unrest	RIOT - Civil Unrest	RIOT Civil Unrest	As civil crisis deepens and inequality tears the very fabric of society the discontentment of the masses manifests itself in violent public disturbances and civil disorder. Play as the police or the angry horde as Riot – Civil Unrest places you in some of the world's most fractious disputes.	GOG		55	"IV Productions	Leonard Menchiari"	"Indie	Simulator	Strategy"	Merge Games	2017-12-06	2017-12-06	Action			LowPriority		False	Windows	https://images.gog.com/ab2a31178c1ad29c5c2cc5b1f69952ab10a363df7d133515cca3551bd613e04a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/1c970a07c9e8bf3c6782c7334c72eee647a89730aa9c9ff988f2aa6203b39eea_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fb8ab84b330e34292993422d473e536ffc156eb2f8f03715f24eae5b5c1fbf98_glx_vertical_cover.webp?namespace=gamesdb
RIOT - Civil Unrest - Amazon Prime	RIOT - Civil Unrest - Amazon Prime	RIOT Civil Unrest Amazon Prime	As the world’s economical crisis deepens and inequality tears the very fabric of society the discontentment of the masses manifests itself in violent public disturbances and civil disorder.\n\n\n\n<b>RIOT – Civil Unrest</b> is the highly anticipated real-time riot simulator that places the player right in the heart of some of the world’s most fractious clashes. Campaigns include: Indignados (Spain), Arab Spring (Egypt), Keratea (Greece) and NoTAV (Italy). Seventeen single level scenarios include Rome, Oakland, Paris, London and Ukraine.\n\n\n\n<b>RIOT – Civil Unrest</b>’s creator, Leonard Menchiari, experienced rioting first-hand at the NoTAV protests in Italy. He created the game to tell the stories and express the feelings experienced during these clashes. What triggers the crowd to behave with such anger and aggression? Often outnumbered, what does a police officer feel like during the conflict? <b>RIOT – Civil Unrest</b> presents the player with the opportunity to experience both sides of the fight - a fight in which there really are no winners. Who is right and who is wrong? Experience <b>RIOT – Civil Unrest</b> and draw your own conclusions.\n\n\n\n<h4>Play as the Police</h4>\nEmploy numerous crowd-control tactics, both passive and aggressive.\nCommand Assault, Tactical, and Ballistic squads.\nCall in police trucks, water cannon or even a tank!\nChoose whether to use smoke grenades, rubber and plastic bullets or even live ammunition.\n\n\n\n<h4>Play as the Rioters</h4>\nInstruct Rioters (armed and passive) and Journalists.\nIncite rage and cause the masses to act aggressively or try to calm the situation with tactical crowd reformation and retreats.\nAttack authority with Molotov cocktails, fireworks, paper-bombs, rocks, street furniture and the power of the media.\n\nSixteen campaign levels split over four scenarios; Keratea (Greece), NoTAV (Italy), Indignados (Spain) and Arab Spring (Egypt).\n\nSee the story unfold from both sides - play all thirty-two levels as the Rioters or the Police.\n\nSingle player mode - play against the computer AI.\n\nVersus mode – play with or against a friend or AI on the same computer.	GOG						2025-06-02	2025-06-02						False				
Rise of Industry	Rise of Industry	Rise of Industry	Rise of Industry is a strategic tycoon game that puts you in the shoes of an early 20th-century industrialist. Build and manage your growing empire in a living, breathing, and procedurally generated world that is constantly evolving and adapting to your playstyle.	Epic Games Store		72	Dapper Penguin Studios	"Indie	Simulator	Strategy"	Kasedo Games	2019-05-02	2019-05-02	Sandbox			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/6161708f7319def77f5f1a207e17512cc420b9345b6d4216988111bd68e6ada0_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/0617f704f5fcdaea9d1460b9ca7d993d7a50730590bb519f9b2126cad2239ae7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c2f74f7719891b4f7639cd94f7851ec37a96e6f98e0d8a7fbef8eb3a0e618d0f_glx_vertical_cover.webp?namespace=gamesdb
Rise of Nations: Extended Edition	Rise of Nations: Extended Edition	Rise of Nations Extended Edition	Rise of Nations: Extended Edition is a re-release of Rise of Nations and its expansion Rise of Nations: Thrones & Patriots. Graphical changes to the game include updated textures, lighting and water.	Steam			"Big Huge Games	Skybox Labs"	"Real Time Strategy (RTS)	Simulator	Strategy"	Microsoft Studios	2014-06-12	2014-06-12		1	2016-07-03 18:36:40	LowPriority		False	Windows	https://images.gog.com/5e86ee8cc2907da158d2aa297a4e89dedfac86db37f2aefb788b490767857563_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5b0bb8af8594bca78a82ca1c66b58a3886c96933bdd705ad1a98d587e10b1c7e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/d8de5ce5a33127e893557d3b4f9df95b8fe620f262d8db5df7a4e68a2546f786_glx_vertical_cover.webp?namespace=gamesdb
Rise of the Tomb Raider: 20 Year Celebration	Rise of the Tomb Raider: 20 Year Celebration	Rise of the Tomb Raider 20 Year Celebration	Rise of the Tomb Raider: 20 Year Celebration includes the critically acclaimed Rise of the Tomb Raider. With over 50 hours of gameplay and all-new content created to celebrate 20 years of the iconic Lara Croft. In the critically acclaimed Tomb Raider, Lara Croft was forged into a true survivor, but she glimpsed a deeper, secret world.	Epic Games Store	4	91	Crystal Dynamics	"Adventure	Role-playing (RPG)	Shooter"	"Crystal Dynamics	Feral Interactive	Square Enix"	2016-10-11	2016-10-11	"Action	Stealth	Survival"			HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/a2711547b1336ac8a9c5724162c968d6829b2297c5d421aa02409f0c7387a0a2_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f829e08fcf0d716c957cf2720fe3afe5a961b5312e0dd78daa6a08e9b70aed1a_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4db99ceb60c4c4403cf6e639f88912c0f1fdc172d93cc8b0d61fc24d0d67674c_glx_vertical_cover.webp?namespace=gamesdb
Risen	Risen	Risen	This RPG from Piranha Bytes bring us in a long unbelievable adventure on the island of Faranga. Take control of the Nameless Hero, create his place in the game's world through your decisions and actions to save the world from the Titan's wrath.	Steam		80	Piranha Bytes	"Hack and slash/Beat 'em up	Role-playing (RPG)"	Deep Silver	2009-10-02	2009-10-02	"Action	Fantasy	Open world"	1	2015-04-11 19:45:45	LowPriority		False	Windows	https://images.gog.com/aa580f0c4690e28ba13c58cf6b1e7e88ab4bf876f4cb04328b0f3e632c55d5f1_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/fbd6795c29ffcefee3af22e11d343bca8b3e69e1517c85ecca931a6a8a886c5d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/6ebb82af7a77cdbb8419d92fa4d6608dce0cbb2ec2d01d7b5f48123403a08a62_glx_vertical_cover.webp?namespace=gamesdb
Rising Hell	Rising Hell	Rising Hell	Rising Hell is a vertical-action roguelike with heavy-metal coursing through its veins. Rising Hell places you in the shackles of Arok, a sinner with a mysterious power to kill demons. Fight your way through the horde of Belial and escape hell as you unlock new characters and talents to create chaos in the randomly generated and ever-changing landscape of hell.	Epic Games Store			"Tahoe Games	Toge Productions"	"Adventure	Indie	Platform	Role-playing (RPG)"	Chorus Worldwide	2019-10-17	2019-10-17	"Action	Fantasy"			HighPriority		False	Windows	https://images.gog.com/268147b22cf979e036fb1440c1dbd593b1c61617e69592432663fab51c08d1eb_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/b44ed80f98cd02949ebb1905bd888facbbba2e847891d8ade2dc1766a57344d7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e0176d27c19f373d7d5289974712a40ba3549a66cf3a47fbb62633d2cef04d45_glx_vertical_cover.webp?namespace=gamesdb
Rising Storm 2: Vietnam Beta	Rising Storm 2: Vietnam Beta	Rising Storm 2 Vietnam Beta	Rising Storm 2: Vietnam is a sequel to the stand-alone expansion pack to Rising Storm and focuses on the Vietnam War.	Epic Games Store		72	"Antimatter Games	Tripwire Interactive"	"Indie	Shooter	Simulator	Strategy"	Tripwire Interactive	2017-05-30	2017-05-30	"Action	Historical	Warfare"			HighPriority		False	Windows	https://images.gog.com/b647de0c422d1317c19a52ad3f73d2a3e5eb2d122c6167fc83d25bd7f3da915a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/1e59b08a0af5cad7ed1a01ae20044351ba506116ea4a17cc22015422e5975eaf_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5fc3d7978f87d8533c760808a43983871740d67fe63d7be30ce9a8c011d6ae78_glx_vertical_cover.webp?namespace=gamesdb
River City Girls	River City Girls	River City Girls	River City Girls stars Kyoko and Misako, two street-tough high-schoolers who must fight their way through the six regions of River City to rescue their kidnapped boyfriends, series mainstays Kunio and Riki. Along the way, they'll utilize an arsenal of combos, counters, throws, and special attacks; battle an assortment of enemies; accept numerous side quests; level up with experience points; interact with NPCs (including guest stars from past River City games); and shop for a variety of items, food, and gear to boost stats and unlock new abilities. The girls can even wield weapons and recruit defeated foes to join them in combat!	Epic Games Store		77	"Arc System Works	WayForward"	"Adventure	Arcade	Fighting	Hack and slash/Beat 'em up"	WayForward	2019-09-04	2019-09-04	Action					False	Windows	https://images.gog.com/4524b8a36adac57aae5680b6a95d8296b9ed2a94a8085bde857a2ce5983b2c44_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c2a668be03cc2f8297e54fd3f347add6c22e66c9608d48bda9af949ad2a79a1b_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fa2277045fa8f20c267f7aac1559e290cf9d8b15b3167ccb34ea69a9283e3136_glx_vertical_cover.webp?namespace=gamesdb
Riverbond	Riverbond	Riverbond	Riverbond is a voxel-based action-adventure game set in a collapsing world.	Epic Games Store		70	Cococucumber	"Adventure	Arcade	Indie"	Cococucumber	2019-06-09	2019-06-09	"Action	Kids	Party"	2		HighPriority		False	Windows	https://images.gog.com/d557e4af1f16d49a1f53e371a75ab755523abf40827241951737b98fa07b6c04_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4b736082a969c251405660b5a0fb08a5f2128da77fde69d1b0fc1e7b324eb595_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e95b1c7387222d11949b04cc8d4f8beeb5d1289ece28866ddf423f49a3ea3daf_glx_vertical_cover.webp?namespace=gamesdb
Robo Army	Robo Army	Robo Army	In a futuristic city named Neo-Detroit, a scientist named Jeed kidnaps two police officers, Maxima and Rocky, and transforms them into cyborgs, but failed to implant on them a chip that would make them obey his will. They eventually escape his grasp and decide to defeat the mad scientist. He pits his army against the two, but they are no match for Maxima and Rocky. Maxima and Rocky eventually find out that Jeed kidnapped his own daughter to prevent her from stopping him. Maxima and Rocky defeated Jeed and saved his daughter. In gratitude for rescuing her, she returned them to normal.	Amazon			SNK	"Arcade	Hack and slash/Beat 'em up"	SNK	1991-01-20	1991-01-20	"Action	Science fiction"			LowPriority		False		https://images.gog.com/ffa69b4177277a7c0b552c47640dce00eae96b55dec114100cae03162a2fad71_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/2fbd2e5b30c48b64520da72716dd62207a7b609da0d4fa63c4086b6fba63112f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/773432ee2ab4d4b8457994a1b4422203643a068e9de812e52182de0221565774_glx_vertical_cover.webp?namespace=gamesdb
Robot Roller-Derby Disco Dodgeball	Robot Roller-Derby Disco Dodgeball	Robot RollerDerby Disco Dodgeball	Disco Dodgeball is a physics-based first-person sports shooter set in a dance club. Dodge, deflect and catch enemy fire as you perform ridiculous aerial stunt shots. Play online or offline in a wide variety of game modes including Hoops, Capture The Flag, Grand Prix and of course, Classic Elimination.	Steam			Erik Asmussen	"Indie	Shooter	Sport"	82 Apps	2015-02-19	2015-02-19	"Action	Science fiction"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/68e6978554f6295623b0028a63708b9bdfd356b635b4228b74be3ed184d85098_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5577357c2b7c54f8b09e184e129df9f966ed4993fa35d7c8b90a12aaf42ddd92_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5577357c2b7c54f8b09e184e129df9f966ed4993fa35d7c8b90a12aaf42ddd92_glx_vertical_cover.webp?namespace=gamesdb
Rocket League	Rocket League	Rocket League	Soccer meets racing once again in our long-awaited, MP-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars!\n\nA futuristic Sports-Action game, Rocket League, equips players with booster-rigged vehicles that can be crashed into balls for incredible goals or epic saves across multiple, highly-detailed arenas. Using an advanced physics system to simulate realistic interactions, Rocket League relies on mass and momentum to give players a complete sense of intuitive control in this unbelievable, high-octane re-imagining of association football.	"Epic Games Store	Steam"		89	Psyonix	"Indie	Racing	Sport"	Psyonix	2015-07-06	2015-07-06	"Action	Science fiction"	421		Ended		False	"Linux	macOS	Windows"	https://images.gog.com/ca8df85fb30e736ecb20f757e33255f6b5eaae65fa1fbf24237e6297decf2c97_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6c3492f74e8098466f1fcf23365c50dc40262b2cfc7ebb4e8e22e11c031963af_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a51c4c8d790bd4f71a9746d5c02aa6974600310d7030a555cf2c368f047410bb_glx_vertical_cover.webp?namespace=gamesdb
Rocket Riot	Rocket Riot	Rocket Riot	Get ready for Rocket Riot, an action-packed, side-scrolling, 8-bit shooter where the rockets and the fun never stops! With over 200 levels and over 300 characters, blowing things up has just reached a new level of awesome!	Steam	1	100	Codeglue	"Arcade	Indie	Shooter	Sport"	Codeglue	2016-10-19	2016-10-19	"Action	Comedy"			LowPriority		False	Windows	https://images.gog.com/d60d28a5e40e63a1ed4ca3c7d2b46ef2b1b0b4fbe7dcb64743cdda53fd286581_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5539a0c5385d1cd30332c1de9543e1b9acb04ac5af219ddb047bf5e40ba0eaf7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/50966e7a873209289c15d44221cf35554e4a578768d0bcc545620bdb8e260cf8_glx_vertical_cover.webp?namespace=gamesdb
Rogue Company	Rogue Company	Rogue Company	A new game from Hi-Rez Studios.\nROGUE COMPANY IS A TOP-SECRET SYNDICATE OF ELITE MERCENARIES AROUND THE GLOBE. TO MOST OF THE WORLD, THE ELUSIVE MERCENARIES ARE A RUMOR AT BEST. HOWEVER, TO THOSE IN THE KNOW, ROGUE COMPANY OPERATIVES ARE INDISPENSABLE TO SOLVING THE WORLD’S DEADLIEST AND MOST CHALLENGING MISSIONS. AS A ROGUE COMPANY MERCENARY, PLAYERS WILL GRAB THEIR WEAPON OF CHOICE AND DIVE INTO ICONIC LOCATIONS TO COMPETE ONLINE IN VARIOUS PVP GAME MODES.	Epic Games Store		85	First Watch Games	Shooter	Hi-Rez Studios	2020-09-30	2020-09-30	Action			LowPriority		True	Windows	https://images.gog.com/d6428144c18d56b894654f8c3bb718f666ce4787b5389ffefd5c3c05f89d1749_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c1cedd065e06453f9ea489df862376a1b2f05423149c793e2f7b8608e4d572c0_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b746433f4501a705f799f73240be80b4ce44cf9843ce84207452acc810c8d304_glx_vertical_cover.webp?namespace=gamesdb
Rogue Legacy	Rogue Legacy	Rogue Legacy	You control a family of characters one at a time, and when your character dies, you choose who his or her successor is, whether it is a barbarian son of yours who has OCD, your daughter who became a ninja even though she can't see well, an assassin who is fighting for the gays, or a miner who wants to collect gold! Traits are randomized each time upon death, leading to multiple playthroughs with 35 traits, each character will be unique.	"Epic Games Store	Humble Bundle	Steam"	3	86	"Abstraction Games	Cellar Door Games"	"Adventure	Indie	Platform	Puzzle	Role-playing (RPG)"	Cellar Door Games	2013-06-27	2013-06-27	"Action	Comedy	Fantasy"	443		Ended		False	"Linux	macOS	Windows"	https://images.gog.com/cbb834b9b4ba2d492448e18ce747560607206f4977aebef93107b48601440858_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/92405dfc8b2422bce55b949b575bd56981f9e62fca14ec372340de72b6c18011_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/eb46ac54ca4326112ff7d39696251b5534f99f6d14015b82c14f41971896f878_glx_vertical_cover.webp?namespace=gamesdb
Roguebook	Roguebook	Roguebook	Enter an ever-changing world full of legendary encounters and stories. Craft your cards, assemble the perfect deck and defeat the Roguebook itself... or die trying.\n\nRoguebook is a single-player roguelike deck-builder that takes place in a procedurally generated world.	Amazon		82	Abrakam	"Adventure	Card & Board Game	Indie	Puzzle	Role-playing (RPG)	Strategy	Tactical	Turn-based strategy (TBS)"	Nacon	2021-06-17	2021-06-17	Fantasy			Maybe Return		False		https://images.gog.com/5a2dda9e03f2bd0b83c460dacb04d600afc0f295ba860402de89b252af09ee7d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e016a5ffc73c821f986e57f6f5b1e21c2eb006edd08b5846bfc47649db447ef8_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/903e6e1feb311b102d649d03b69cd081900005e75b26e7a61f161cceaee27e39_glx_vertical_cover.webp?namespace=gamesdb
Roguelands	Roguelands	Roguelands	In the rush to invent, conquer, and create, the ultimate consequences are sometimes forgotten.\n\nEarth lies in ruin. Our ever advancing Aether technology opened a rift to another time, unleashing an ancient beast upon the galaxy. Known as the Destroyer, this massive creature travels from world to world devouring the Aether in planet cores only to leave a dead shell in its wake.\n\nYou play as a Galactic Cadet, tasked with traveling to hostile planets in search of precious resources before The Destroyer rips through the planet core. Team up with friends, gather resources, and craft powerful gear on your home planet so you can aid the fight to save the galaxy!	Steam			SmashGames	"Adventure	Indie	Platform	Role-playing (RPG)"	SmashGames	2015-11-06	2015-11-06	"Action	Fantasy	Science fiction"	60	2016-07-16 13:29:40	HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/425f01dead97dfc9f016c640d3aec57deebd59d88818f61db6cf4a87b8807687_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/b996e4e1c5a61629f7b19e265d9e6e5c53a83a38dee48c5bdc58942bdc44c7f2_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b996e4e1c5a61629f7b19e265d9e6e5c53a83a38dee48c5bdc58942bdc44c7f2_glx_vertical_cover.webp?namespace=gamesdb
RollerCoaster Tycoon® 3: Complete Edition	RollerCoaster Tycoon® 3: Complete Edition	RollerCoaster Tycoon 3 Complete Edition	Build the park of a lifetime and rediscover the critically acclaimed rollercoaster simulation bestseller. Feel the thrill of a genre-defining classic, complete with two huge expansion packs.	Epic Games Store	4	80	Frontier Developments	"Simulator	Strategy"	"Aspyr Media	Frontier	Frontier Foundry"	2020-09-23	2020-09-23	"Comedy	Sandbox"	15		Star		False	"macOS	Windows"	https://images.gog.com/1c95351be671c82a77f55d3f06e286639434d475a70248e4f149b58fefe37ef4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f8fa2986db6ce284049138754a5f769e4565ed285ed8392cee46a6cc25aafe89_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/81ce51277a132e10b920d256f4b1bf074fb8273fb2011d907a389f12e2864db0_glx_vertical_cover.webp?namespace=gamesdb
RPG in a Box	RPG in a Box	RPG in a Box	RPG in a Box lets you easily create 3D grid-based, voxel-style RPGs and adventure games!	Epic Games Store						2022-05-11	2022-05-11				LowPriority		False	Windows	https://images.gog.com/aed713eb32f871128fa8dd31c30dfc786e8ebf43ebb214cfb4624a78f4174341_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/be4d6c2e32556210fafbca0749d2032be5d1d60cbb88775e9519e27bcac0af68_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/6bddf8baceba84fb2215430552ec1dd34788bf3822e9ee49cc732b0cb5a57fac_glx_vertical_cover.webp?namespace=gamesdb
Rugrats: Adventures in Gameland	Rugrats: Adventures in Gameland	Rugrats Adventures in Gameland	A baby-fresh take on retro-inspired gameplay, featuring a unique co-op design, where kids and parents need to stick together to win!	Epic Games Store		58	Wallride Games	"Adventure	Indie	Platform	Puzzle"	"Limited Run	The Media Indie Exchange"	2024-09-10	2024-09-10	"Action	Kids"			LowPriority		False	Windows	https://images.gog.com/389d2a794f63433d3a058117b64f9a6b32030da0e0d89224d9545a8271a4fc8f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c5c3eb418516de68f1af0043245ebb8805e05d8ad9fa289f6dc58dd3e256ac5a_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/de47143b27489ce598442f7b4b8a78724cc1e8a697b470aa897030efd988f2c6_glx_vertical_cover.webp?namespace=gamesdb
Runbow	Runbow	Runbow	Runbow is an action party game with a unique art style and a never-before seen colour mechanic that will keep you running back for more. Platforms and obstacles appear and disappear as the background colour changes, so if you can’t see something, it doesn’t exist. Whether you're playing alone or with friends, Runbow is fast, frantic, and a lot of fun.\n\nPlayers can race against each other in The Runbow Run, or go head to head in a number of different modes including King of the Hill and Arena to name a few. Use the Wii U GamePad to become the malevolent ColourMaster controlling the colours and the obstacles in the level, or tackle our toughest game mode, The Bowhemoth, a 30+ minute platforming challenge that will put the patience and skill of even the toughest players to the test.\n\nIf dozens of game modes, hundreds of unlockable costumes, and a crazy, colourful gaming challenge sounds like fun, then you better get ready to Runbow!	Epic Games Store		74	13AM Games	"Adventure	Indie	Platform	Racing"	"13AM Games	CrossFunction	Headup Games"	2015-08-27	2015-08-27	"Action	Comedy	Party"			LowPriority		False	Windows	https://images.gog.com/ab4e521ee169825d813b8f07bb46a3acf7cb2f7e847eeb26bfe023c7ee3378c6_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e4295bc8e5afe2c5553778cae9df25d5c1de2ca411880027e827e24c18f811d8_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/cc3af71802b718ebfc5b83a1229cf8f2fe08b3ad45d1fef9d9bbbbb990ee264b_glx_vertical_cover.webp?namespace=gamesdb
RunnerDot	RunnerDot	RunnerDot	RunnerDot is a casual little game made to kill your time. Seriously. When you're feeling like doing nothing, fire up RunnerDot and enjoy! You play as a little dot, and you use your mouse to navigate. You avoid stuff coming at you, and you collect points. Survive the longest. Compete in leaderboards.	Steam			Ongakken s. r. o		Ongakken s. r. o	2021-07-20	2021-07-20				LowPriority		False	Windows	https://images.gog.com/954327b5c9ad8f4f53e18c77dd611c8c3843b4fde3144b1754951765fcd1529c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8140b61b88cbaac69feffbfa6c554e63fee3f5c1e536b3c011dcbcc3c2bce857_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e68793bc1af21ac1ff7c2d022d0a2863a00d33a97c237d7a4b95c9109174b474_glx_vertical_cover.webp?namespace=gamesdb
Sable	Sable	Sable	Sable is a coming-of-age tale of discovery through exploration across a strikingly rendered open world desert. Go on a deeply personal journey across an alien planet while learning its history and discovering Sable’s place in the world.	Epic Games Store		83	Shedworks	"Adventure	Indie	Platform	Puzzle	Role-playing (RPG)"	Raw Fury	2021-09-23	2021-09-23	"Open world	Science fiction"			LowPriority		False	Windows	https://images.gog.com/b66e2e4c0db1ce671c406d7137cad3c55fe9369bb0595c2cf6c9d00916d9c89f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3abe9d6244238d1567629ec22d8508a14cb19739571b51e59795ab6a3d198331_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a40624d0956cb30c1ee23deb349de75aacc2d26b63747a7d6d2d0d2b13748603_glx_vertical_cover.webp?namespace=gamesdb
Sacred Citadel	Sacred Citadel	Sacred Citadel	The once peaceful land of Ancaria is in grave danger. The evil Ashen empire has enslaved its population and is using the orc-like Grimmoc to wipe out the Seraphim, who swore to protect it. In order to defeat the empire you will have to prove yourself as a warrior by riding terrifying mounts, acquiring earth shattering skills and looting powerful weapons and valuable treasures. Grab your friends and join the resistance!	Steam		66	SouthEnd Interactive	"Arcade	Hack and slash/Beat 'em up	Role-playing (RPG)"	Deep Silver	2013-04-17	2013-04-17	"Action	Fantasy"	68	2015-04-11 19:44:33	HighPriority		False	Windows	https://images.gog.com/904b2ba9e0878ae5548b9c8e17aeb8fe935c0e0e5213ce124c558e733e7d59ad_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/85b0b209077179dfb4aa34979b29ef4fbc5e6f176701c0229101c17a00a0bd5f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e745b9c3cbb09610269544647c975b2b8e81e227d877cf6a5f4d8bfb7d0990d4_glx_vertical_cover.webp?namespace=gamesdb
Sail Forth	Sail Forth	Sail Forth	Heave! Fake the bull rope and stay the mizzen royal! Command a fleet of custom-rigged sailing ships on a procedurally crafted adventure over an unending ocean whose ancient depths have swallowed the key to a planet’s mysterious past. The Deepblue calls with the bellow of High Adventure! Sail Forth!	Epic Games Store		65	David Evans	"Adventure	Indie	Racing	Role-playing (RPG)	Simulator	Strategy"	The Quantum Astrophysicists Guild	2022-12-21	2022-12-21	Action			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/8ca9d113ca06701409438b29b0a1a2c3cc0a69b1401f21ba29df0e7f979d094c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/666c8b47f21af0254c30048fae81b576648db01d596114c6b619067bb9d8f1af_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/44cefba29e3975a2358ce3b421600f9bceedbf6c9f95f084f8e876a9cde0f239_glx_vertical_cover.webp?namespace=gamesdb
Saints Row	Saints Row	Saints Row	Welcome to Santo Ileso, a vibrant fictional city in the American Southwest. In a world rife with crime, a group of young friends embark on their own criminal venture, as they rise to the top in their bid to become Self Made.	Epic Games Store		61	Volition	"Adventure	Shooter"	Deep Silver	2022-08-23	2022-08-23	"Action	Open world"	279		Ended		False	Windows	https://images.gog.com/e612a40471c349f9465d0b546f575de3798705036f67f6022ed4b62a7d795bbd_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/28f799911089622923228e7617ffd338a7565d7f6d0eeb467efeeee447f7291f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a4ae7740d3c9ece528a4ee041ef9a3d81a3436cfaad6fe113816d06786a87f15_glx_vertical_cover.webp?namespace=gamesdb
